"INCIDENT_KEY","OCCUR_DATE","OCCUR_TIME","BORO","LOC_OF_OCCUR_DESC","PRECINCT","JURISDICTION_CODE","LOC_CLASSFCTN_DESC","LOCATION_DESC","STATISTICAL_MURDER_FLAG","PERP_AGE_GROUP","PERP_SEX","PERP_RACE","VIC_AGE_GROUP","VIC_SEX","VIC_RACE","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","New Georeferenced Column"
"304617623","04/11/2025","21:55:00","BROOKLYN","OUTSIDE","60","0","STREET","(null)","Y","(null)","(null)","(null)","45-64","M","BLACK","996,467","150,881","40.58081","-73.956017","POINT (-73.956017 40.58081)"
"303861624","03/29/2025","13:21:00","BROOKLYN","OUTSIDE","81","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","<18","M","BLACK","18-24","M","BLACK","1,000,876","191,778","40.693058","-73.940046","POINT (-73.940046 40.693058)"
"305163491","04/22/2025","20:42:00","BROOKLYN","OUTSIDE","94","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","(null)","(null)","(null)","18-24","M","BLACK HISPANIC","1,001,685","201,032","40.718455","-73.937104","POINT (-73.937104 40.718455)"
"306837529","05/21/2025","17:50:00","BRONX","OUTSIDE","52","0","STREET","(null)","Y","<18","M","WHITE HISPANIC","18-24","M","WHITE HISPANIC","1,018,634","259,808","40.879731","-73.875662","POINT (-73.875662 40.879731)"
"307581458","06/04/2025","22:40:00","MANHATTAN","OUTSIDE","14","0","STREET","(null)","Y","(null)","(null)","(null)","25-44","M","WHITE HISPANIC","986,684","215,375","40.75784","-73.991213","POINT (-73.991213 40.75784)"
"299648921","01/17/2025","09:54:00","BRONX","OUTSIDE","40","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","18-24","M","BLACK","18-24","M","BLACK","1,004,934","235,728","40.81368","-73.925276","POINT (-73.925276 40.81368)"
"306062049","05/08/2025","00:25:00","BRONX","OUTSIDE","47","2","HOUSING","MULTI DWELL - PUBLIC HOUS","N","(null)","(null)","(null)","25-44","M","WHITE HISPANIC","1,030,360","261,043","40.883065","-73.833249","POINT (-73.833249 40.883065)"
"307442124","06/02/2025","21:55:00","BROOKLYN","INSIDE","83","0","DWELLING","MULTI DWELL - APT BUILD","Y","(null)","(null)","(null)","25-44","M","BLACK","1,007,689","191,193","40.691437","-73.915478","POINT (-73.915478 40.691437)"
"304263629","04/05/2025","17:45:00","BRONX","OUTSIDE","46","0","STREET","(null)","N","25-44","M","WHITE HISPANIC","18-24","M","BLACK HISPANIC","1,009,234","247,586","40.846216","-73.909699","POINT (-73.909699 40.846216)"
"305637544","04/30/2025","19:45:00","BRONX","OUTSIDE","48","0","STREET","(null)","N","(null)","(null)","(null)","25-44","M","BLACK","1,017,326","245,083","40.839319","-73.880464","POINT (-73.880464 40.839319)"
